Word,IPA,Expected,Actual,Result
cardinality,cardinality,カーディナリティー,アディナリットイ,FAIL
soughed,soughed,サフト,ソウグヘッド,FAIL
vindication,vɪndʌkejˈʃʌn,ビンディケイション,ヴィンダッケイシャン,FAIL
acoustically,ʌkuˈstɪkli,アクースティカリー,アックスティックリー,FAIL
octavo,octavo,オクテイボ,oタヴォ,FAIL
petted,pɛˈtʌd,ペッティド,ペッタッド,FAIL
preserver,pɹizɚˈvɚ,プリザーヴァー,プリザーヴァー,PASS
sensitisation,sensitisation,センサイゼイション,センシッティサッティoン,FAIL
admitter,admitter,アドゥミター,アッドミットテ,FAIL
squeezed,skwiˈzd,スクイーズド,スクウィズド,FAIL
berne,bɚˈn,バーン,バーン,PASS
acrosses,acrosses,アクロッシーズ,アロスセス,FAIL
dia,diˈʌ,ディーア,ディア,FAIL
sufficed,sʌfajˈst,サファイスト,サファイスト,PASS
contouring,contouring,コントゥアリング,oントウリング,FAIL
hazy,hejˈzi,ヘイジー,ヘイジー,PASS
vasectomy,væzɛˈktʌmi,バセクトミー,ヴァゼックタミー,FAIL
vendetta,vɛndɛˈtʌ,ベンデッタ,ヴェンデッタ,FAIL
strangled,stɹæˈŋgʌld,ストゥラングルド,ストラングガルド,FAIL
proficient,pɹɑfɪˈʃʌnt,プロフィシェント,プロフィッシャント,FAIL
politic,pɑˈlʌtɪˌk,ポリティック,ポラッティック,FAIL
ensemble,ɑnsɑˈmbʌl,アンサンブル,アンサンバル,FAIL
compulsed,compulsed,コンパルスト,oンプルセッド,FAIL
vice,vajˈs,ヴァイス,ヴァイス,PASS
declaims,declaims,ディクレイムズ,デライムス,FAIL
rationalizing,ɹæˈʃʌnʌlajˌzɪŋ,ラショナライジング,ラッシャナライジング,FAIL
angular,æˈŋgjʌlɚ,アンギュラー,アングギャラー,FAIL
burei,burei,ブレイ,ブレイ,PASS
ascendent,ascendent,アセンデント,アスエンデント,FAIL
diagrammed,dajˈʌgɹæˌmd,ダイアグラムド,ダイアグラムド,PASS
helix,hiˈlɪks,ヒーリクス,ヒリックス,FAIL
privacy,pɹajˈvʌsi,プライヴァシー,プライヴァシー,PASS
gayety,gayety,ガイエティイ,ガイェットイ,FAIL
controlled,kʌntɹowˈld,コントゥロウルド,コントロールド,FAIL
o'neill,owˈ'niˈl,オニール,オーニル,FAIL
worried,wɚˈid,ウォリード,ワーイッド,FAIL
rupture,ɹʌˈpʧɚ,ラプチュア,ラップチャー,FAIL
asthmatic,æzmæˈtɪk,アズマティク,アズマッティック,FAIL
haunting,hɔˈntɪŋ,ホーンティング,ホンティング,FAIL
litmus,lɪˈtmʌs,リトマス,リットマス,FAIL
obdurate,ɑˈbdɚʌt,オブデュレト,アブダーアット,FAIL
sanchez,sæˈnʧɛz,サンチェス,サンチェズ,FAIL
proselytizes,proselytizes,プロセラタイジズ,プロセルイティゼス,FAIL
lora,lɔˈɹʌ,ローラ,ロラ,FAIL
squiring,squiring,スクワイアリング,スウイリング,FAIL
streets,stɹiˈts,ストゥリーツ,ストリツ,FAIL
interrogational,interrogational,インタロゲイショナル,インテロガッティoナル,FAIL
sticking,stɪˈkɪŋ,スティッキング,スティッキング,PASS
kinky,kɪˈŋki,キンキイ,キンキー,FAIL
lichas,lichas,ライカス,リハス,FAIL
complacency,kʌmplejˈsʌnsi,コンプレイセンシイ,コンプレイサンシー,FAIL
outstretched,awtstɹɛˈʧt,アウトゥストゥレッチト,オーツトレッチト,FAIL
tunic,tuˈnɪk,チューニック,トゥニック,FAIL
ailanthus,ailanthus,エイランサス,アイラントフス,FAIL
frequentative,frequentative,フリークェンタティブ,フレウエンタッティヴェ,FAIL
dissoluble,dissoluble,ディソリュブル,ディスソルブレ,FAIL
sit,sɪˈt,シット,シット,PASS
intrigue,ɪntɹiˈg,イントゥリーグ,イントリグ,FAIL
syllabify,syllabify,シラビファイ,スイルラビフイ,FAIL
depends,dɪpɛˈndz,ディペンズ,ディッペンズ,FAIL
mydb,mydb,マイデブ,ムイドブ,FAIL
charities,ʧɛˈɹʌtiz,チャリティーズ,チェラッティズ,FAIL
clarifies,klɛˈɹʌfajˌz,クラリファイズ,クレラファイズ,FAIL
keener,kiˈnɚ,キーナー,キナー,FAIL
cremator,cremator,クリメイター,レマット,FAIL
recreating,ɹɛˈkɹiejˌtɪŋ,リクリエイティング,レックリエイティング,FAIL
aria,ɑˈɹiʌ,エリア,アリア,FAIL
