Word,ExpectedKana
cardinality,カーディナリティー
soughed,サフト
vindication,ビンディケイション
acoustically,アクースティカリー
octavo,オクテイボ
petted,ペッティド
preserver,プリザーヴァー
sensitisation,センサイゼイション
admitter,アドゥミター
squeezed,スクイーズド
berne,バーン
acrosses,アクロッシーズ
dia,ディーア
sufficed,サファイスト
contouring,コントゥアリング
hazy,ヘイジー
vasectomy,バセクトミー
vendetta,ベンデッタ
strangled,ストゥラングルド
proficient,プロフィシェント
politic,ポリティック
ensemble,アンサンブル
compulsed,コンパルスト
vice,ヴァイス
declaims,ディクレイムズ
rationalizing,ラショナライジング
angular,アンギュラー
burei,ブレイ
ascendent,アセンデント
diagrammed,ダイアグラムド
helix,ヒーリクス
privacy,プライヴァシー
gayety,ガイエティイ
controlled,コントゥロウルド
o'neill,オニール
worried,ウォリード
rupture,ラプチュア
asthmatic,アズマティク
haunting,ホーンティング
litmus,リトマス
obdurate,オブデュレト
sanchez,サンチェス
proselytizes,プロセラタイジズ
lora,ローラ
squiring,スクワイアリング
streets,ストゥリーツ
interrogational,インタロゲイショナル
sticking,スティッキング
kinky,キンキイ
lichas,ライカス
complacency,コンプレイセンシイ
outstretched,アウトゥストゥレッチト
tunic,チューニック
ailanthus,エイランサス
frequentative,フリークェンタティブ
dissoluble,ディソリュブル
sit,シット
intrigue,イントゥリーグ
syllabify,シラビファイ
depends,ディペンズ
mydb,マイデブ
charities,チャリティーズ
clarifies,クラリファイズ
keener,キーナー
cremator,クリメイター
recreating,リクリエイティング
aria,エリア
telomere,テロミア
trounced,トゥラウンスト
boughs,バウズ
potemkin,ポチョムキン
navigation,ナヴィゲイション
swinge,スインジ
polish,ポリッシュ
stairing,ステアリング
interpret,インタプリット
oasys,オアシス
gagarin,ガガーリン
catalytic,キャタリティック
jumbo,ジャンボ
roth,ロス
jejune,ジジューン
labo,ラボ
purest,ピュアレスト
blacken,ブラックン
orlando,オーランドウ
artist's,アーティストゥズ
bayou,バイウー
butt,バット
tbaby,ティーベイビー
colonizing,コロナイジング
caterpillar,キャタピラー
revisionist,リビジョニスト
divisible,ディビジブル
albert,アルバート
petulancy,ペチュランシー
rose,ロウズ
fossilize,フォシライヅ
intervention,インタベンション
oppenheimer,オッペンハイマー
carbon,カーボン
balmy,バーミー
degraced,ディグレイスト
procession,プロセッション
bass,バス
marseille,マーセイ
toot,トゥート
posh,ポッシュ
varies,ベアリーズ
mender,メンダー
ifstream,アイエフストゥリーム
organism,オーガニズム
tetralogy,テトゥラロジー
pulpy,パルピイ
dali,ダリ
anatomist,アナトミスト
mentoring,メントーリング
psoriatic,ソリアティック
broad,ブロウド
escondido,エスコンディードウ
implosive,インプロウシブ
candlestick,キャンドゥルスティック
friendship,フレンドゥシップ
secularise,セキュラライズ
oura,オウラ
senses,センシズ
personalizes,パーソナライジズ
accenting,アクセンティング
decked,デックト
discord,ディスコード
pact,パクト
absentated,アブセンテイティド
corpuscular,コーパスキュラー
gynecology,ジニコロジー
