Word,IPA,Expected,Actual,Result
cardinality,cardinality,カーディナリティー,cアルディーナリーットゥユ,FAIL
soughed,soughed,サフト,ソウグヘッド,FAIL
vindication,vɪndʌkejˈʃʌn,ビンディケイション,ヴィンダケイション,FAIL
acoustically,ʌkuˈstɪkli,アクースティカリー,アクスティックリー,FAIL
octavo,octavo,オクテイボ,cタヴォ,FAIL
petted,pɛˈtʌd,ペッティド,ペタッド,FAIL
preserver,pɹizɚˈvɚ,プリザーヴァー,プリザーヴァー,PASS
sensitisation,sensitisation,センサイゼイション,センシッティサッティン,FAIL
admitter,admitter,アドゥミター,アッドゥミットゥテル,FAIL
squeezed,skwiˈzd,スクイーズド,スクウィーズド,FAIL
berne,bɚˈn,バーン,バーン,PASS
acrosses,acrosses,アクロッシーズ,アcロスセス,FAIL
dia,diˈʌ,ディーア,ディア,FAIL
sufficed,sʌfajˈst,サファイスト,サファイスト,PASS
contouring,contouring,コントゥアリング,cントウリング,FAIL
hazy,hejˈzi,ヘイジー,ヘイジー,PASS
vasectomy,væzɛˈktʌmi,バセクトミー,ヴァゼクタミー,FAIL
vendetta,vɛndɛˈtʌ,ベンデッタ,ヴェンデタ,FAIL
strangled,stɹæˈŋgʌld,ストゥラングルド,ストゥランググルド,FAIL
proficient,pɹɑfɪˈʃʌnt,プロフィシェント,プロフィショント,FAIL
politic,pɑˈlʌtɪˌk,ポリティック,ポラティック,FAIL
ensemble,ɑnsɑˈmbʌl,アンサンブル,アンサンブル,PASS
compulsed,compulsed,コンパルスト,cンプルセッド,FAIL
vice,vajˈs,ヴァイス,ヴァイス,PASS
declaims,declaims,ディクレイムズ,デcライムス,FAIL
rationalizing,ɹæˈʃʌnʌlajˌzɪŋ,ラショナライジング,ラショナライジング,PASS
angular,æˈŋgjʌlɚ,アンギュラー,アングギャラー,FAIL
burei,burei,ブレイ,ブレイ,PASS
ascendent,ascendent,アセンデント,アスcエンデント,FAIL
diagrammed,dajˈʌgɹæˌmd,ダイアグラムド,ダイアグラムド,PASS
helix,hiˈlɪks,ヒーリクス,ヒリクス,FAIL
privacy,pɹajˈvʌsi,プライヴァシー,プライヴァシー,PASS
gayety,gayety,ガイエティイ,ガイェットゥユ,FAIL
controlled,kʌntɹowˈld,コントゥロウルド,コントゥロールド,FAIL
o'neill,owˈ'niˈl,オニール,オーー'ニール,FAIL
worried,wɚˈid,ウォリード,ワーイッド,FAIL
rupture,ɹʌˈpʧɚ,ラプチュア,ラップチャー,FAIL
asthmatic,æzmæˈtɪk,アズマティク,アズマティック,FAIL
haunting,hɔˈntɪŋ,ホーンティング,ホンティング,FAIL
litmus,lɪˈtmʌs,リトマス,リットゥマス,FAIL
obdurate,ɑˈbdɚʌt,オブデュレト,アブダーアット,FAIL
sanchez,sæˈnʧɛz,サンチェス,サンチェズ,FAIL
proselytizes,proselytizes,プロセラタイジズ,プロセルユティゼス,FAIL
lora,lɔˈɹʌ,ローラ,ロラ,FAIL
squiring,squiring,スクワイアリング,スqウイリング,FAIL
streets,stɹiˈts,ストゥリーツ,ストゥリーツ,PASS
interrogational,interrogational,インタロゲイショナル,インテルロガッティナル,FAIL
sticking,stɪˈkɪŋ,スティッキング,スティキング,FAIL
kinky,kɪˈŋki,キンキイ,キンキー,FAIL
lichas,lichas,ライカス,リーcハス,FAIL
complacency,kʌmplejˈsʌnsi,コンプレイセンシイ,コンプレイサンシー,FAIL
outstretched,awtstɹɛˈʧt,アウトゥストゥレッチト,オーーツトゥレッチュト,FAIL
tunic,tuˈnɪk,チューニック,トゥニック,FAIL
ailanthus,ailanthus,エイランサス,アイラントゥフス,FAIL
frequentative,frequentative,フリークェンタティブ,フレqウエンタッティヴェ,FAIL
dissoluble,dissoluble,ディソリュブル,ディスソルブレ,FAIL
sit,sɪˈt,シット,シット,PASS
intrigue,ɪntɹiˈg,イントゥリーグ,イントゥリグ,FAIL
syllabify,syllabify,シラビファイ,スユルラビーフユ,FAIL
depends,dɪpɛˈndz,ディペンズ,ディペンズ,PASS
mydb,mydb,マイデブ,ムユドゥブ,FAIL
charities,ʧɛˈɹʌtiz,チャリティーズ,チェラッティーズ,FAIL
clarifies,klɛˈɹʌfajˌz,クラリファイズ,クレラファイズ,FAIL
keener,kiˈnɚ,キーナー,キーナー,PASS
cremator,cremator,クリメイター,cレマトル,FAIL
recreating,ɹɛˈkɹiejˌtɪŋ,リクリエイティング,リックリーエイティング,FAIL
aria,ɑˈɹiʌ,エリア,アリア,FAIL
telomere,tɛˈlʌmiɹ,テロミア,テラミー,FAIL
trounced,tɹawˈnst,トゥラウンスト,トゥラーンスト,FAIL
boughs,bawˈz,バウズ,バーズ,FAIL
potemkin,pʌtɛˈmkɪn,ポチョムキン,パテムキン,FAIL
navigation,næˈvʌgejˈʃʌn,ナヴィゲイション,ナヴァゲイション,FAIL
swinge,swinge,スインジ,スウィンゲ,FAIL
polish,pɑˈlɪʃ,ポリッシュ,ポリッシュ,PASS
stairing,stairing,ステアリング,スタイリング,FAIL
interpret,ɪntɚˈpɹʌt,インタプリット,インタープレット,FAIL
oasys,oasys,オアシス,アスユス,FAIL
gagarin,gʌgæˈɹʌn,ガガーリン,ガギャラン,FAIL
catalytic,kæˌtʌlɪˈtɪk,キャタリティック,キャタリティック,PASS
jumbo,ʤʌˈmbow,ジャンボ,ジャンボー,FAIL
roth,ɹɔˈθ,ロス,ロス,PASS
jejune,jejune,ジジューン,イエイウネ,FAIL
labo,lɑˈbow,ラボ,ロボー,FAIL
purest,pjʊˈɹʌst,ピュアレスト,ピュラスト,FAIL
blacken,blæˈkʌn,ブラックン,ブラクン,FAIL
orlando,ɔɹlæˈndow,オーランドウ,オルランドー,FAIL
